board_type,sequence,sleeptime,run,start_time,device_tracking,making_code,Rhtr_RT,generalpurpose,VDDH,TCR_from_NVM,R_HTR_at_RT_from_NVM,RT_from_NVM,Humidity_HW,Temperature_HW,Temperature_ASIC,Temp1,Wait1,Temp2,Wait2,Rmox_Temp1,Rmox_Temp2,comment,EtOH (ppm),IAQ,TVOC (mg/m^3),eCO2 (ppm)
IDT HiCom,hard coded,0.0,1.0,2020-04-05T01:20:31.333000,x0000463C53845B75,x2310,22.213084827769894,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.079694091796875,0.00280078125,21.7559814453125,21.5,,,25.8125,300.0,1.0,300.0,1.0,1364.2908567314614,1821.7893217893218,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,2.0,2020-04-05T01:20:33.364000,x0000463C53845B75,x2310,22.213084827769894,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.079694091796875,0.00280078125,21.7559814453125,21.5,,,27.215000000000032,300.0,1.0,300.0,1.0,2222.81504939589,2581.37369836563,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,3.0,2020-04-05T01:20:35.383000,x0000463C53845B75,x2310,22.213084827769894,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.079694091796875,0.00280078125,21.7559814453125,21.5,,,27.314000000000078,300.0,1.0,300.0,1.0,2933.791531394626,3265.2461171261543,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,4.0,2020-04-05T01:20:37.405000,x0000463C53845B75,x2310,22.213084827769894,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.079694091796875,0.00280078125,21.7559814453125,21.5,,,27.33050000000003,300.0,1.0,300.0,1.0,3579.235445932136,3894.150707743547,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,5.0,2020-04-05T01:20:39.419000,x0000463C53845B75,x2310,22.213084827769894,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.079694091796875,0.00280078125,21.7559814453125,21.5,,,27.41300000000001,300.0,1.0,300.0,1.0,4191.3910505836575,4500.652344089763,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,6.0,2020-04-05T01:20:41.437000,x0000463C53845B75,x2310,22.213084827769894,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.079694091796875,0.00280078125,21.7559814453125,21.5,,,27.479000000000042,300.0,1.0,300.0,1.0,4799.581917951398,5069.3317984406885,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,7.0,2020-04-05T01:20:43.448000,x0000463C53845B75,x2310,22.213084827769894,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.079694091796875,0.00280078125,21.7559814453125,21.5,,,27.479000000000042,300.0,1.0,300.0,1.0,5388.659865846842,5674.980759812495,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,8.0,2020-04-05T01:20:45.467000,x0000463C53845B75,x2310,22.213084827769894,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.079694091796875,0.00280078125,21.7559814453125,21.5,,,27.495499999999993,300.0,1.0,300.0,1.0,5950.717175432144,6268.876611418048,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,9.0,2020-04-05T01:20:47.482000,x0000463C53845B75,x2310,22.213084827769894,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.079694091796875,0.00280078125,21.7559814453125,21.5,,,27.561500000000024,300.0,1.0,300.0,1.0,6519.517462993204,6850.79666561148,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,10.0,2020-04-05T01:20:49.494000,x0000463C53845B75,x2310,22.213084827769894,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.079694091796875,0.00280078125,21.7559814453125,21.5,,,27.545000000000073,300.0,1.0,300.0,1.0,7098.966494709228,7409.020382255449,,0.0,0.0,0.0,0.0
